Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   55,  [[0, 1], [0, 4], [0, 5], [1, 1], [1, 1], [2, 3], [3, 3], [3, 3]]
   56,  [[0, 1], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
   57,  [[0, 2], [0, 4], [0, 5], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
   58,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 2], [1, 3], [3, 3], [3, 3]]
   59,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [1, 4], [2, 3]]
   60,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 5], [2, 3]]
   61,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 5], [2, 3], [3, 3]]
   62,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [5, 5]]
   63,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [1, 5], [3, 3]]
   64,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 5], [2, 3], [3, 3]]
   65,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 5], [3, 3], [3, 3]]
   66,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [5, 5]]
   67,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
   68,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [1, 5], [3, 3]]
   69,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 3], [1, 3], [1, 5], [3, 3]]
   70,  [[0, 0], [0, 0], [0, 2], [1, 3], [1, 3], [1, 3], [1, 4], [3, 3]]
   71,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
   72,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
   73,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 1], [2, 3], [3, 3]]
   74,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [3, 5]]
   75,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [3, 3]]
   76,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [1, 3], [3, 3]]
   77,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [3, 5]]
   78,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 1], [1, 3], [2, 3], [3, 3]]
   79,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 1], [2, 3], [3, 3], [3, 3]]
   80,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
   81,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [3, 5]]
   82,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 3]]
   83,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 3], [3, 3], [3, 3]]
   84,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
   85,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 1], [1, 3], [1, 3], [3, 3]]
   86,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [3, 5]]
   87,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 3], [1, 3], [3, 5]]
   88,  [[0, 0], [0, 0], [0, 1], [1, 3], [1, 3], [1, 4], [2, 3], [3, 3]]
   89,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 3], [2, 3], [3, 4]]
   90,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [2, 3], [3, 3], [3, 5]]
   91,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [3, 5]]
   92,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [3, 5]]
   93,  [[0, 0], [0, 0], [0, 2], [1, 1], [1, 3], [1, 3], [1, 3], [3, 4]]
   94,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [5, 5]]
   95,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 3], [1, 3], [1, 3], [5, 5]]
   96,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [5, 5]]
   97,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [1, 3], [2, 5]]
   98,  [[0, 3], [0, 4], [0, 5], [1, 1], [1, 1], [1, 1], [3, 3], [3, 3]]
   99,  [[0, 3], [0, 4], [0, 5], [1, 1], [1, 1], [1, 2], [1, 3], [3, 3]]
  100,  [[0, 1], [0, 4], [0, 5], [1, 1], [1, 2], [1, 3], [3, 3], [3, 3]]
  101,  [[0, 0], [0, 0], [0, 3], [1, 3], [1, 3], [1, 4], [1, 5], [2, 3]]
  102,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 3], [1, 4], [2, 3]]
  103,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 4], [2, 3], [3, 3]]
  104,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [2, 3], [4, 4]]
  105,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 3], [1, 3], [1, 4], [3, 3]]
  106,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 5], [2, 3]]
  107,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 5], [2, 3], [3, 3]]
  108,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [2, 3], [5, 5]]
  109,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 5], [3, 3]]
  110,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 3], [1, 5], [2, 3], [3, 3]]
  111,  [[0, 1], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [2, 3], [5, 5]]
  112,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  113,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 3], [1, 3], [1, 5], [3, 3]]
  114,  [[0, 0], [0, 3], [0, 4], [1, 2], [1, 3], [1, 3], [1, 5], [3, 3]]
  115,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 4], [2, 3], [3, 3]]
  116,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 5], [2, 3], [3, 3], [3, 3]]
  117,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [2, 3], [3, 3], [5, 5]]
  118,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 5], [3, 3], [3, 3]]
  119,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 5], [3, 3], [3, 3]]
  120,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 3], [1, 3], [2, 3], [4, 4]]
  121,  [[0, 0], [0, 1], [0, 4], [1, 3], [1, 3], [1, 3], [2, 3], [5, 5]]
  122,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  123,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 3], [3, 3], [5, 5]]
  124,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 3], [1, 3], [2, 5], [3, 3]]
