Nomber of atoms =  8
Atoms =  ['O', 'O', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 6, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   45,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 3], [3, 4], [4, 4], [4, 7]]
   46,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [3, 4], [4, 7]]
   47,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [3, 4], [3, 4], [4, 4], [7, 7]]
   48,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [3, 7], [4, 4]]
   49,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
   50,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 3], [3, 4], [4, 4]]
   51,  [[0, 0], [0, 3], [0, 5], [1, 1], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [4, 4]]
   52,  [[0, 0], [0, 0], [0, 3], [1, 5], [1, 6], [1, 7], [2, 4], [3, 4], [3, 4], [4, 4]]
   53,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [3, 4]]
   54,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 5], [1, 6], [2, 3], [3, 4], [3, 4], [7, 7]]
   55,  [[0, 0], [0, 0], [0, 3], [1, 4], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
   56,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 5], [1, 6], [2, 4], [3, 4], [3, 4], [3, 7]]
   57,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [3, 4], [3, 4], [4, 4], [4, 7]]
   58,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 3], [3, 4], [4, 7]]
   59,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [4, 4], [4, 7]]
   60,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [4, 4]]
   61,  [[0, 0], [0, 0], [0, 5], [1, 3], [1, 3], [1, 6], [2, 4], [3, 4], [3, 4], [7, 7]]
   62,  [[0, 0], [0, 2], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [4, 6]]
   63,  [[0, 0], [0, 0], [0, 5], [1, 2], [1, 3], [1, 3], [3, 4], [3, 4], [4, 4], [4, 6]]
   64,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 3], [3, 4], [4, 4], [4, 6]]
   65,  [[0, 0], [0, 0], [0, 5], [1, 1], [1, 3], [1, 3], [3, 4], [3, 4], [4, 6], [4, 7]]
