Nomber of atoms =  9
Atoms =  ['O', 'N', 'CH3', 'CH3', 'C', 'C', 'H', 'H', 'H']
Valence electrons =  [6, 5, 1, 1, 4, 4, 1, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   41,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
   42,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   43,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   44,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [5, 5], [5, 8]]
   45,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 5]]
   46,  [[0, 4], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
   47,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
   48,  [[0, 0], [0, 4], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [8, 8]]
   49,  [[0, 4], [0, 4], [0, 6], [1, 1], [1, 2], [1, 7], [1, 8], [3, 5], [4, 5], [4, 5], [5, 5]]
   50,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 6], [1, 7], [1, 8], [3, 5], [4, 5], [4, 5], [5, 5]]
   51,  [[0, 4], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   52,  [[0, 0], [0, 4], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   53,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 4], [1, 6], [1, 7], [2, 5], [4, 5], [4, 5], [5, 8]]
   54,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 4], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7]]
   55,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   56,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   57,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 5], [5, 5], [5, 8]]
   58,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 5]]
   59,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 4], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
   60,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
   61,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 6], [2, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   62,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 6], [1, 7], [2, 5], [4, 4], [4, 5], [5, 8]]
   63,  [[0, 0], [0, 4], [0, 6], [1, 1], [1, 1], [1, 2], [1, 7], [3, 5], [4, 5], [4, 5], [5, 8]]
   64,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 2], [3, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
   65,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7]]
   66,  [[0, 0], [0, 1], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [5, 7], [8, 8]]
   67,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 4], [4, 5], [5, 7], [8, 8]]
   68,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [3, 5], [4, 5], [4, 5], [4, 7], [5, 8]]
   69,  [[0, 0], [0, 2], [0, 4], [1, 1], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   70,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 3], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [5, 8]]
   71,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 4], [4, 5], [5, 5], [5, 8]]
   72,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [4, 5], [5, 8]]
   73,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [4, 5], [4, 5], [5, 5], [8, 8]]
   74,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 4], [4, 5], [4, 8], [5, 5]]
   75,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 8]]
   76,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 4], [4, 5], [5, 5]]
   77,  [[0, 0], [0, 4], [0, 6], [1, 1], [1, 2], [1, 7], [1, 8], [3, 5], [4, 5], [4, 5], [5, 5]]
   78,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 6], [1, 7], [1, 8], [3, 5], [4, 5], [4, 5], [5, 5]]
   79,  [[0, 0], [0, 0], [0, 4], [1, 1], [1, 2], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [4, 5]]
   80,  [[0, 0], [0, 4], [0, 5], [1, 1], [1, 2], [1, 6], [1, 7], [3, 4], [4, 5], [4, 5], [8, 8]]
   81,  [[0, 0], [0, 0], [0, 4], [1, 2], [1, 5], [1, 6], [1, 7], [3, 5], [4, 5], [4, 5], [8, 8]]
