Nomber of atoms =  8
Atoms =  ['X', 'X', 'CH3', 'CH3', 'C', 'C', 'H', 'H']
Valence electrons =  [7, 7, 1, 1, 4, 4, 1, 1]
Fixed electrons =  [[0, 0], [0, 0], [0, 0], [1, 1], [1, 1], [1, 1]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
   61,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 4], [5, 5], [5, 7]]
   62,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 5], [5, 7]]
   63,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 5], [5, 5], [7, 7]]
   64,  [[0, 4], [1, 6], [2, 5], [4, 5], [4, 5], [4, 7], [5, 5]]
   65,  [[0, 4], [1, 6], [2, 5], [3, 5], [4, 4], [4, 5], [4, 5]]
   66,  [[0, 4], [1, 6], [2, 5], [4, 5], [4, 5], [4, 5], [7, 7]]
   67,  [[0, 4], [1, 6], [2, 5], [3, 7], [4, 4], [4, 5], [4, 5]]
   68,  [[0, 4], [1, 6], [2, 4], [3, 4], [4, 5], [5, 5], [5, 7]]
   69,  [[0, 4], [1, 6], [2, 4], [4, 4], [5, 5], [5, 5], [5, 7]]
   70,  [[0, 4], [1, 6], [2, 4], [4, 4], [4, 5], [5, 5], [5, 5]]
   71,  [[0, 4], [1, 6], [2, 4], [4, 5], [5, 5], [5, 5], [7, 7]]
   72,  [[0, 4], [1, 6], [2, 4], [3, 7], [4, 5], [4, 5], [5, 5]]
   73,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 4], [5, 5], [5, 5]]
   74,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [4, 6], [5, 5]]
   75,  [[0, 0], [1, 1], [2, 4], [4, 5], [4, 5], [4, 6], [5, 7]]
   76,  [[0, 0], [1, 4], [2, 4], [3, 5], [4, 5], [4, 6], [5, 5]]
   77,  [[0, 0], [1, 1], [2, 4], [4, 4], [4, 5], [5, 5], [5, 6]]
   78,  [[0, 0], [1, 1], [2, 4], [3, 5], [4, 5], [4, 6], [5, 7]]
   79,  [[0, 0], [1, 1], [2, 4], [3, 5], [4, 4], [4, 5], [5, 5]]
   80,  [[0, 0], [1, 2], [3, 4], [4, 5], [4, 5], [5, 5], [5, 6]]
   81,  [[0, 2], [1, 6], [4, 4], [4, 5], [4, 5], [4, 7], [5, 5]]
   82,  [[0, 2], [1, 6], [3, 4], [4, 4], [4, 5], [5, 5], [5, 7]]
   83,  [[0, 2], [1, 6], [3, 4], [4, 5], [4, 5], [4, 5], [5, 7]]
   84,  [[0, 2], [1, 6], [3, 4], [4, 5], [4, 5], [5, 5], [7, 7]]
   85,  [[0, 0], [1, 6], [4, 4], [4, 5], [4, 5], [4, 5], [5, 7]]
   86,  [[0, 0], [1, 6], [4, 4], [4, 4], [4, 5], [5, 5], [5, 7]]
   87,  [[0, 0], [1, 6], [4, 4], [4, 5], [4, 5], [5, 5], [7, 7]]
   88,  [[0, 4], [1, 6], [2, 5], [4, 4], [4, 5], [4, 7], [5, 5]]
   89,  [[0, 0], [1, 6], [2, 4], [3, 4], [4, 5], [5, 5], [5, 7]]
   90,  [[0, 0], [1, 6], [2, 4], [4, 4], [4, 5], [4, 5], [5, 7]]
   91,  [[0, 0], [1, 6], [2, 4], [4, 4], [4, 5], [5, 5], [5, 5]]
   92,  [[0, 0], [1, 1], [2, 4], [4, 5], [4, 5], [4, 5], [5, 6]]
   93,  [[0, 0], [1, 6], [2, 4], [4, 5], [4, 5], [4, 5], [5, 5]]
   94,  [[0, 0], [1, 6], [2, 4], [4, 5], [4, 5], [4, 5], [7, 7]]
   95,  [[0, 0], [1, 6], [2, 4], [3, 7], [4, 5], [4, 5], [5, 5]]
   96,  [[0, 2], [1, 6], [3, 4], [4, 5], [4, 7], [5, 5], [5, 5]]
   97,  [[0, 2], [1, 6], [3, 4], [4, 4], [4, 5], [4, 5], [5, 5]]
   98,  [[0, 4], [1, 6], [2, 4], [4, 5], [4, 7], [5, 5], [5, 5]]
   99,  [[0, 6], [1, 7], [2, 4], [4, 4], [4, 5], [4, 5], [5, 5]]
  100,  [[0, 0], [1, 6], [2, 4], [3, 4], [4, 5], [4, 5], [5, 5]]
  101,  [[0, 4], [1, 6], [2, 4], [3, 5], [4, 7], [5, 5], [5, 5]]
  102,  [[0, 6], [1, 7], [2, 4], [3, 5], [4, 4], [4, 5], [5, 5]]
  103,  [[0, 6], [1, 7], [2, 4], [3, 5], [4, 5], [4, 5], [4, 5]]
  104,  [[0, 0], [1, 1], [2, 4], [3, 5], [4, 5], [4, 5], [4, 5]]
  105,  [[0, 2], [1, 4], [4, 4], [4, 5], [4, 5], [5, 5], [5, 6]]
  106,  [[0, 2], [1, 4], [3, 5], [4, 5], [4, 5], [4, 6], [5, 7]]
  107,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [5, 5], [5, 6]]
  108,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [4, 5], [5, 5]]
  109,  [[0, 2], [1, 4], [3, 5], [4, 4], [4, 5], [4, 5], [6, 6]]
  110,  [[0, 0], [1, 4], [4, 5], [4, 5], [4, 6], [5, 5], [5, 7]]
  111,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [4, 6], [5, 7]]
  112,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 6], [5, 5], [5, 7]]
  113,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 5], [5, 6], [7, 7]]
  114,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 5], [4, 6], [5, 5]]
  115,  [[0, 0], [1, 4], [2, 5], [4, 5], [4, 5], [4, 6], [7, 7]]
  116,  [[0, 4], [1, 4], [2, 5], [4, 4], [4, 5], [5, 5], [5, 6]]
  117,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 4], [5, 5], [5, 6]]
  118,  [[0, 0], [1, 4], [2, 5], [3, 5], [4, 4], [4, 5], [5, 6]]
  119,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [5, 6], [5, 7]]
  120,  [[0, 0], [1, 4], [2, 5], [4, 4], [4, 5], [5, 5], [6, 6]]
  121,  [[0, 2], [1, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6]]
  122,  [[0, 2], [1, 4], [3, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  123,  [[0, 2], [1, 4], [3, 4], [4, 5], [4, 5], [5, 5], [6, 6]]
  124,  [[0, 4], [1, 5], [2, 4], [4, 4], [4, 5], [5, 5], [5, 6]]
  125,  [[0, 0], [1, 4], [2, 4], [3, 4], [4, 5], [5, 5], [5, 6]]
  126,  [[0, 0], [1, 4], [2, 4], [4, 5], [4, 6], [5, 5], [5, 7]]
  127,  [[0, 0], [1, 4], [2, 4], [4, 4], [5, 5], [5, 5], [5, 6]]
  128,  [[0, 0], [1, 4], [2, 4], [4, 4], [4, 5], [5, 6], [5, 7]]
  129,  [[0, 0], [1, 1], [2, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  130,  [[0, 0], [1, 4], [4, 4], [4, 5], [4, 5], [5, 6], [5, 7]]
  131,  [[0, 0], [1, 4], [2, 4], [4, 5], [5, 5], [5, 6], [5, 7]]
  132,  [[0, 0], [1, 4], [2, 4], [4, 5], [4, 5], [5, 6], [7, 7]]
  133,  [[0, 4], [1, 5], [2, 4], [4, 5], [4, 5], [5, 5], [6, 6]]
  134,  [[0, 0], [1, 4], [2, 4], [3, 6], [4, 5], [4, 5], [5, 5]]
  135,  [[0, 0], [1, 4], [2, 4], [4, 5], [4, 5], [5, 5], [6, 7]]
  136,  [[0, 4], [1, 5], [2, 4], [3, 5], [4, 5], [4, 6], [5, 7]]
